Oak Compact Joystick - U,,,,,,,,Unit Cost,Total Cost,Total Print time (hr),Total filament (g),,
Version: V0.2,,Last Updated: 2023-05-15,,,,,, $65.76 , $68.56 ,5.00,144.27,,
Commercial Parts,,,,,,,,,,,,,
ID,Part Name,Part Type,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
,Seeeduino Xiao RP2040,Electrical,1,1, $7.99 ,1, $7.99 , $7.99 , $7.99 ,https://www.digikey.ca/en/products/detail/seeed-technology-co-ltd/102010428/14672129?s=N4IgTCBcDaIBoEsCGB7ABAJQApgAwBZcQBdAXyA,,,
,Adafruit Mini Analog Joystick,Electrical,1,1, $31.43 ,1, $31.43 , $31.43 , $31.43 ,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/3102/6152821 ,,,
,Female to male DuPont connectors,Electrical,2,20, $3.11 ,1, $0.16 , $0.31 , $3.11 ,https://www.digikey.ca/en/products/detail/sparkfun-electronics/PRT-12795/5993860,,,
,"#4 3/8"" screws",Mechanical,4,1, $0.61 ,4, $0.61 , $2.44 , $2.44 ,https://www.digikey.ca/en/products/detail/serpac/6005/307599,,,
,Ziptie,Mechanical,1,1, $0.17 ,1, $0.17 , $0.17 , $0.17 ,https://www.digikey.ca/en/products/detail/3m/CT4NT18-M/2721151,,,
,USB-c Cable,Electrical,1,1, $11.09 ,1, $11.09 , $11.09 , $11.09 ,https://a.co/d/gk1hT80,,,
,Wire,Electrical,1,1, $0.72 ,1, $0.72 , $0.72 , $0.72 ,https://www.digikey.ca/en/products/detail/cnc-tech/3122-24-1-0500-001-1-TS/16396742 ,,,
,(Optional for mount) M3 screws and nuts x2,Mechanical,0,340, $22.14 ,0, $0.07 , $-   , $-   ,https://a.co/d/gOU1aoF,,,
,(Optional for mount) 1/4-20 tee nut x1,Mechanical,0,100, $15.49 ,0, $0.15 , $-   , $-   ,https://a.co/d/5bNUPnV,,,
,Digikey Shipping (<$100 order),Shipping,1,1, $8.00 ,1, $8.00 , $8.00 , $8.00 ,,,,
,,,,,,, $-   , $-   , $-   ,,,,
3D Printed Parts                           ESTIMATED PRICING USING 1KG ROLL COST:,, $25.00 ,,,,,,,,,,,
ID,Part,Material,QTY,Mass (g) / Unit,Time / Unit,,Print Time (Min),Estimated Price,,Link,,,
,Oak Enclosure Top,PLA,1,35.36,157,,157, $0.88 ,,,,,
,Oak Enclosure Bottom,PLA,1,27.24,131,,131, $0.68 ,,,,,
,Oak MCU Mount,PLA,2,0.51,6,,12, $0.01 ,,,,,
,(Optional) Joystick Camera Mount,PLA,0,8.5,54,,0, $0.21 ,,,,,
,(Optional) Oak Convex Topper,PLA,0,6.62,30,,0, $0.17 ,,,,,
,(Optional) Oak Concave Topper,PLA,0,8.46,42,,0, $0.21 ,,,,,
,(Optional) Oak Cylindrical Topper,PLA,0,21.73,137,,0, $0.54 ,,,,,
,(Optional) Oak Goalpost Topper,PLA,0,35.85,206,,0, $0.90 ,,,,,
,,,,,,,, $-   ,,,,,
,,,,,,,, $-   ,,,,,
Custom Printed Circuit Board (PCB),,,,,,,,,,,,,
ID,Part,,QTY,,,,,,,,,,
,,,,,,,,,,,,,
Tools for Assembly,,,,,,,,,,,,,
,Soldering Iron,,,,,,,,,,,,
,Solder ,,,,,,,,,,,,
,#3 Philips Screwdriver,,,,,,,,,,,,
,Flush cutters,,,,,,,,,,,,
,Wire strippers,,,,,,,,,,,,
,"(Optional for mount adapter) 1/4-20 screw or hex bolt, at least 1/2"" long ",,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,,,
ID,Part and description,,,,,,,,,Link,,,
,1/4-20 tee nut,Local hardware store,,,,,,,,,,,
,M3 Screws and Nuts,Local hardware store,,,,,,,,,,,
,Wire,Local hardware store,,,,,,,,,,,
,"#4 3/8"" screws",Mechanical,4,100, $6.93 ,1, $0.07 , $0.28 , $6.93 ,https://www.amazon.ca/gp/product/B00GI86MW8,,,
